X,Y,Model,Equation,R2,RMSE,MAE,AIC,BIC,Quality
Degree,WeightedDegree,Linear,y = 1613.35645399 * x + -985.17625271,0.5820151204598675,617.6542623309437,547.3287107740629,93.96300396780083,93.85482426591146,Poor
Degree,WeightedDegree,Quadratic,y = 113.59672199*x² + 1272.56633591*x + -757.98286836,0.5820151204598664,617.6542623309444,547.3287056075771,95.96300396780084,95.80073441496678,Poor
Degree,WeightedDegree,Power,y = 628.18020127 * x^1.83523771,0.5820151204598674,617.6542623309437,547.3287107740556,93.96300396780083,93.85482426591146,Poor
Degree,WeightedDegree,Exponential,y = 176.04457383 * exp(1.27208985 x),0.5820151204598675,617.6542623309437,547.3287106988206,93.96300396780083,93.85482426591146,Poor
Degree,WeightedDegree,Logarithmic,y = 628.18020127 + 2327.58135535 ln(x),0.5820151204598675,617.6542623309437,547.3287107740628,93.96300396780083,93.85482426591146,Poor
Degree,MinimumDistance,Linear,y = -37.73133593 * x + 665.91153720,0.001534230912862311,434.8358756502779,425.83308465209706,89.04956127553824,88.94138157364887,Poor
Degree,MinimumDistance,Quadratic,y = -174.30751850*x² + 485.19122291*x + 317.29650610,0.001534230912861645,434.83587565027807,425.83308645173827,91.04956127553824,90.88729172270418,Poor
Degree,MinimumDistance,Power,y = 628.18020127 * x^-0.08936635,0.001534230912862311,434.8358756502779,425.8330846523386,89.04956127553824,88.94138157364887,Poor
Degree,MinimumDistance,Exponential,y = 668.32267482 * exp(-0.06194403 x),0.001534230912862311,434.8358756502779,425.83308471047985,89.04956127553824,88.94138157364887,Poor
Degree,MinimumDistance,Logarithmic,y = 628.18020081 + -54.43480058 ln(x),0.001534230912862311,434.8358756502779,425.8330856401036,89.04956127553824,88.94138157364887,Poor
Degree,MaximumDistance,Linear,y = 1022.90758864 * x + -394.72738737,0.5559478499577744,412.98884524912046,386.7215075282115,88.32788816919947,88.2197084673101,Poor
Degree,MaximumDistance,Quadratic,y = 321.48280878*x² + 58.45914169*x + 248.23824376,0.555947849957773,412.98884524912114,386.72150357762104,90.3278881691995,90.16561861636544,Poor
Degree,MaximumDistance,Power,y = 628.18020127 * x^1.39416645,0.5559478499577744,412.98884524912046,386.7215075282115,88.32788816919947,88.2197084673101,Poor
Degree,MaximumDistance,Exponential,y = 239.00023226 * exp(0.96636255 x),0.5559478499577744,412.98884524912046,386.7215075338741,88.32788816919947,88.2197084673101,Poor
Degree,MaximumDistance,Logarithmic,y = 628.18020108 + 1475.74370483 ln(x),0.5559478499577744,412.98884524912046,386.7215074422514,88.32788816919947,88.2197084673101,Poor
Degree,AverageDistance,Linear,y = 492.58812636 * x + 135.59207492,0.2569621309395651,378.4049515586946,341.1470589348172,87.10350891649281,86.99532921460344,Poor
Degree,AverageDistance,Quadratic,y = 466.19512596*x² + -905.99725301*x + 1067.98232705,0.256962130939565,378.4049515586946,341.14705932955206,89.10350891649281,88.94123936365875,Poor
Degree,AverageDistance,Power,y = 628.18020127 * x^0.83523771,0.2569621309395651,378.40495155869456,341.14705893481704,87.10350891649281,86.99532921460344,Poor
Degree,AverageDistance,Exponential,y = 352.08914772 * exp(0.57894267 x),0.2569621309395651,378.4049515586946,341.14705893481323,87.10350891649281,86.99532921460344,Poor
Degree,AverageDistance,Logarithmic,y = 628.18020127 + 710.65444710 ln(x),0.2569621309395651,378.40495155869456,341.14705893481704,87.10350891649281,86.99532921460344,Poor
WeightedDegree,MinimumDistance,Linear,y = 0.24045426 * x + 173.08176992,0.2786619632474109,369.59679324212544,321.8279794024665,86.77377728811715,86.66559758622778,Poor
WeightedDegree,MinimumDistance,Quadratic,y = 0.00007347*x² + -0.00742500*x + 314.44583159,0.3019255278812697,363.58809614706985,308.18612161802076,88.54430272057131,88.38203316773725,Poor
WeightedDegree,MinimumDistance,Power,y = 4.92843153 * x^0.64652613,0.26434224350991053,373.24731039224446,327.10508123154534,86.91137722669741,86.80319752480804,Poor
WeightedDegree,MinimumDistance,Exponential,y = 237.40566482 * exp(0.00046492 x),0.30842737644104734,361.89090969631457,300.5887452890455,86.47879936771062,86.37061966582125,Poor
WeightedDegree,MinimumDistance,Logarithmic,y = -989.88427499 + 221.07859763 ln(x),0.23140563793324487,381.51127281851615,351.2613906299439,87.21796558544486,87.10978588355549,Poor
WeightedDegree,MaximumDistance,Linear,y = 0.60278361 * x + 285.52545124,0.8633969542581091,229.06119617566068,199.63422535727224,80.07584880087077,79.9676690989814,Moderate
WeightedDegree,MaximumDistance,Quadratic,y = -0.00014598*x² + 1.09526691*x + 4.66542245,0.9086720531455892,187.29370471657793,128.2370619146796,79.2574919746441,79.09522242181004,Moderate
WeightedDegree,MaximumDistance,Power,y = 10.11943108 * x^0.66168278,0.9001101142515884,195.87638992027078,141.63200489769187,77.8847731524902,77.77659345060083,Moderate
WeightedDegree,MaximumDistance,Exponential,y = 628.68649162 * exp(0.00039956 x),0.762963421362056,301.73731257824386,256.89308825244046,83.93379538139736,83.82561567950799,Weak
WeightedDegree,MaximumDistance,Logarithmic,y = -3041.84702238 + 611.45553456 ln(x),0.8727406320251152,221.08853096721478,196.55409745202874,79.57988499479299,79.47170529290362,Moderate
WeightedDegree,AverageDistance,Linear,y = 0.42161893 * x + 229.30361058,0.8419142213218493,174.54111176040422,122.27823169357352,76.27024435924413,76.16206465735476,Weak
WeightedDegree,AverageDistance,Quadratic,y = -0.00003625*x² + 0.54392175*x + 159.55511078,0.8474795310760284,171.44128076243553,130.15323699030952,78.01937150455015,77.85710195171609,Weak
WeightedDegree,AverageDistance,Power,y = 7.43786957 * x^0.65840276,0.8581019966143373,165.36343264144662,126.65084035356851,75.51403943255781,75.40585973066844,Moderate
WeightedDegree,AverageDistance,Exponential,y = 436.13666447 * exp(0.00041572 x),0.7924701344834997,199.98233682323323,133.09234239454372,78.17520665469775,78.06702695280838,Weak
WeightedDegree,AverageDistance,Logarithmic,y = -2015.86563757 + 416.26706432 ln(x),0.8061939393392231,193.2569021249335,160.59575046438567,77.69628564019094,77.58810593830157,Weak
MinimumDistance,MaximumDistance,Linear,y = 0.52110411 * x + 1045.52544485,0.1338825245158789,576.7793903952918,471.395508089341,93.00443796152925,92.89625825963988,Poor
MinimumDistance,MaximumDistance,Quadratic,y = -0.00898243*x² + 12.26918669*x + -1069.80082199,0.5875059197509487,398.0431854691437,369.804537994145,89.81184707842722,89.64957752559316,Poor
MinimumDistance,MaximumDistance,Power,y = 337.41162186 * x^0.22682411,0.19830770605184345,554.9133684354721,459.98903260395673,92.46336812115052,92.35518841926115,Poor
MinimumDistance,MaximumDistance,Exponential,y = 1085.92487879 * exp(0.00035432 x),0.12497155734997012,579.7388677147112,473.4838681613516,93.07608883711004,92.96790913522067,Poor
MinimumDistance,MaximumDistance,Logarithmic,y = -762.68406075 + 349.38334079 ln(x),0.22572811105067392,545.3409105398289,464.7059292340101,92.21975572243389,92.11157602054452,Poor
MinimumDistance,AverageDistance,Linear,y = 0.76055206 * x + 522.76272243,0.568424479540548,288.38969519764584,235.6977540446705,83.30037743369002,83.19219773180065,Poor
MinimumDistance,AverageDistance,Quadratic,y = -0.00449121*x² + 6.63459378*x + -534.90048928,0.7944593517519989,199.02159273457247,184.90226848718368,80.10778655058802,79.94551699775396,Weak
MinimumDistance,AverageDistance,Power,y = 75.87215451 * x^0.41233300,0.6278027443621641,267.8168636730325,218.85889561387407,82.2642476338936,82.15606793200423,Poor
MinimumDistance,AverageDistance,Exponential,y = 599.46712442 * exp(0.00073547 x),0.5423791864434205,296.96428486984803,243.6802991900151,83.71056630051561,83.60238659862624,Poor
MinimumDistance,AverageDistance,Logarithmic,y = -1625.33600667 + 429.06702868 ln(x),0.678533871257338,248.89659003882988,214.31470549364215,81.23852512816254,81.13034542627317,Poor
MaximumDistance,AverageDistance,Linear,y = 0.62846044 * x + 126.05892314,0.7872195650200293,202.4963422024678,191.5691534552212,78.35010552460068,78.24192582271131,Weak
MaximumDistance,AverageDistance,Quadratic,y = -0.00010904*x² + 0.88484961*x + 20.87541608,0.798568214370154,197.02227878359534,181.86618358662471,79.96643537662153,79.80416582378747,Weak
MaximumDistance,AverageDistance,Power,y = 3.86476642 * x^0.77129283,0.7971970736267204,197.69170419994094,186.69210829924802,78.01392274833124,77.90574304644187,Weak
MaximumDistance,AverageDistance,Exponential,y = 394.74978184 * exp(0.00062523 x),0.7123518882265509,235.44100358069136,221.77846425422675,80.46044513087784,80.35226542898847,Weak
MaximumDistance,AverageDistance,Logarithmic,y = -2226.60679361 + 458.52099385 ln(x),0.7523060673131916,218.478658676281,191.54295737531464,79.41363672924658,79.3054570273572,Weak
