X,Y,BestModel,Equation,R2,RMSE,MAE,AIC,BIC,Quality
Degree,WeightedDegree,Linear,y = 1613.35645399 * x + -985.17625271,0.5820151204598675,617.6542623309437,547.3287107740629,93.96300396780083,93.85482426591146,Poor
Degree,MinimumDistance,Linear,y = -37.73133593 * x + 665.91153720,0.001534230912862311,434.8358756502779,425.83308465209706,89.04956127553824,88.94138157364887,Poor
Degree,MaximumDistance,Linear,y = 1022.90758864 * x + -394.72738737,0.5559478499577744,412.98884524912046,386.7215075282115,88.32788816919947,88.2197084673101,Poor
Degree,AverageDistance,Linear,y = 492.58812636 * x + 135.59207492,0.2569621309395651,378.4049515586946,341.1470589348172,87.10350891649281,86.99532921460344,Poor
WeightedDegree,MinimumDistance,Exponential,y = 237.40566482 * exp(0.00046492 x),0.30842737644104734,361.89090969631457,300.5887452890455,86.47879936771062,86.37061966582125,Poor
WeightedDegree,MaximumDistance,Quadratic,y = -0.00014598*x² + 1.09526691*x + 4.66542245,0.9086720531455892,187.29370471657793,128.2370619146796,79.2574919746441,79.09522242181004,Moderate
WeightedDegree,AverageDistance,Power,y = 7.43786957 * x^0.65840276,0.8581019966143373,165.36343264144662,126.65084035356851,75.51403943255781,75.40585973066844,Moderate
MinimumDistance,MaximumDistance,Quadratic,y = -0.00898243*x² + 12.26918669*x + -1069.80082199,0.5875059197509487,398.0431854691437,369.804537994145,89.81184707842722,89.64957752559316,Poor
MinimumDistance,AverageDistance,Quadratic,y = -0.00449121*x² + 6.63459378*x + -534.90048928,0.7944593517519989,199.02159273457247,184.90226848718368,80.10778655058802,79.94551699775396,Weak
MaximumDistance,AverageDistance,Quadratic,y = -0.00010904*x² + 0.88484961*x + 20.87541608,0.798568214370154,197.02227878359534,181.86618358662471,79.96643537662153,79.80416582378747,Weak
