,Degree,WeightedDegree,MinimumDistance,MaximumDistance,AverageDistance,mst_edges,mst_minimum,mst_maximum,mst_mean,mst_median,mst_std,mst_variance,mst_coefficient_variation,mst_total_length,mst_max_min_ratio
Degree,0.3500000000000001,0.1357142857142859,0.023809523809523947,0.088095238095238,0.0,0.059523809523809534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WeightedDegree,0.10714285714285743,0.6166666666666667,0.038095238095238404,0.271428571428572,0.36190476190476195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MinimumDistance,0.023809523809523947,0.00952380952380949,0.5452380952380953,0.0,0.06904761904761925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MaximumDistance,0.05238095238095242,0.271428571428572,0.0,0.6166666666666667,0.2357142857142862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AverageDistance,0.0,0.36190476190476195,0.09761904761904794,0.2357142857142862,0.6166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mst_edges,0.09523809523809534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mst_minimum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mst_maximum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857117,0.07619047619047592,0.0,0.0,0.0,0.0,0.0
mst_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mst_median,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mst_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mst_variance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mst_coefficient_variation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mst_total_length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mst_max_min_ratio,0.0,0.0,0.0,0.0,0.0,0.07142857142857117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
