Observable,Mean,Median,Std,Variance,CoefficientVariation,Minimum,Maximum
Degree,1.7142857142857142,2.0,0.48795003647426666,0.23809523809523814,0.2846375212766556,1.0,2.0
WeightedDegree,1780.5776684062857,1785.6249951722,1031.9022318629984,1064822.2161238373,0.5795322777391717,155.8012764386,3190.0364417036003
MinimumDistance,601.2292470399427,298.7542240768,470.0371372354928,220934.91038053753,0.7817935330818426,155.8012764386,1100.5591261076
MaximumDistance,1358.828478872943,1486.8707710954,669.4139028120471,448114.9732780569,0.4926404717152242,155.8012764386,2091.66096567
AverageDistance,980.0288629564428,1100.5591261076,474.15980034660123,224827.51626472877,0.483822281433843,155.8012764386,1595.0182208518002
mst_edges,6.0,6.0,0.0,0.0,0.0,6.0,6.0
mst_minimum,155.8012764386,155.8012764386,0.0,0.0,0.0,155.8012764386,155.8012764386
mst_maximum,2091.66096567,2091.66096567,0.0,0.0,0.0,2091.66096567,2091.66096567
mst_mean,1038.6703065703334,1038.6703065703334,0.0,0.0,0.0,1038.6703065703334,1038.6703065703334
mst_median,1099.4673010706001,1099.4673010706001,0.0,0.0,0.0,1099.4673010706001,1099.4673010706001
mst_std,727.1865580845558,727.1865580845557,1.227958193492945e-13,1.5078813249664568e-26,1.6886425908744045e-16,727.1865580845557,727.1865580845557
mst_variance,528800.2902588629,528800.2902588629,0.0,0.0,0.0,528800.2902588629,528800.2902588629
mst_coefficient_variation,0.7001129747183298,0.7001129747183298,0.0,0.0,0.0,0.7001129747183298,0.7001129747183298
mst_total_length,6232.021839422,6232.021839422001,9.82366554794356e-13,9.650440479785323e-25,1.5763207833775296e-16,6232.021839422001,6232.021839422001
mst_max_min_ratio,13.42518504008731,13.425185040087309,1.9186846773327266e-15,3.681350891031389e-30,1.4291681430114935e-16,13.425185040087309,13.425185040087309
