,Degree,WeightedDegree,MinimumDistance,MaximumDistance,AverageDistance,mst_edges,mst_minimum,mst_maximum,mst_mean,mst_median,mst_std,mst_variance,mst_coefficient_variation,mst_total_length,mst_max_min_ratio
Degree,1.0,0.762899154842806,-0.03916925979466876,0.7456191051453649,0.5069143230759662,,,,,,,,,,
WeightedDegree,0.762899154842806,0.9999999999999998,0.5278844222435539,0.9291915595064933,0.9175588380708066,,,,,,,,,,
MinimumDistance,-0.03916925979466876,0.5278844222435539,1.0,0.3658996098875744,0.7539393075974669,,,,,,,,,,
MaximumDistance,0.7456191051453649,0.9291915595064933,0.3658996098875744,1.0,0.8872539461845346,,,,,,,,,,
AverageDistance,0.5069143230759662,0.9175588380708066,0.7539393075974669,0.8872539461845346,0.9999999999999996,,,,,,,,,,
mst_edges,,,,,,,,,,,,,,,
mst_minimum,,,,,,,,,,,,,,,
mst_maximum,,,,,,,,,,,,,,,
mst_mean,,,,,,,,,,,,,,,
mst_median,,,,,,,,,,,,,,,
mst_std,,,,,,,,,,,,,,,
mst_variance,,,,,,,,,,,,,,,
mst_coefficient_variation,,,,,,,,,,,,,,,
mst_total_length,,,,,,,,,,,,,,,
mst_max_min_ratio,,,,,,,,,,,,,,,
